"";"titulo";"faixa_etaria";"sinopse"
"1";"Suburbicon - Bem-vindos ao Paraíso";"16";"Suburbicon, 1959. Quando uma invasão de domícilio se torna mortal, a família aparentemente perfeita de Gardner Lodge (Matt Damon) se submete à chantagem, vingança e traição, gerando um rastro de sangue que mancha o suposto paraíso."
"2";"120 Batimentos Por Minuto";"16";"França, início dos anos 1990. O grupo ativista Act Up está intensificando seus esforços para que a sociedade reconheça a importância da prevenção e do tratamento em relação a Aids, que mata cada vez mais há uma década. Recém-chegado ao grupo, Nathan (Arnaud Valois) logo fica impressionado com a dedicação de Sean (Nahuel Pérez Biscayart), apesar de seu estado de saúde delicado."
"3";"Os Iniciados";"16";"Cabo Oriental, África do Sul. Xolani, um operário solitário, viaja para as montanhas rurais com os homens de sua comunidade com intuito de atuar nos rituais de Ulwaluko, que consiste na circuncisão de adolescentes de origem Xhosa para que eles ingressem finalmente na vida adulta, tornando-se homens. Xolani assume a responsabilidade sobre um garoto da cidade que o pai teme ser homossexual e, quando o iniciante questionador descobre seu segredo mais bem guardado, o operário não tem mais paz."
"4";"A Forma da Água";"16";"Década de 60. Em meio aos grandes conflitos políticos e transformações sociais dos Estados Unidos da Guerra Fria, a muda Elisa (Sally Hawkins), zeladora em um laboratório experimental secreto do governo, se afeiçoa a uma criatura fantástica mantida presa e maltratada no local. Para executar um arriscado e apaixonado resgate ela recorre ao melhor amigo Giles (Richard Jenkins) e à colega de turno Zelda (Octavia Spencer)."
"5";"A Repartição do Tempo";"16";"Brasília, início da década de 1980. O REPI (Registro de Patentes e Invenções) acaba de ser capa de uma importante revista nacional, que o coloca como exemplo da burocracia existente no governo. Lisboa (Eucir de Souza), o chefe, não gosta nem um pouco da reportagem e decide cobrar atitude de seus funcionários, que fazem de tudo menos trabalhar. Paralelamente, o Dr. Brasil (Tonico Pereira) deseja patentear uma máquina do tempo e a deixa no REPI. Ao colocar o aparelho no estoque, Jonas (Edu Moraes) acidentalmente o aciona e, consequentemente, volta no tempo."
"6";"Cinquenta Tons de Liberdade";"16";"Superados os principais problemas, Anastasia (Dakota Johnson) e Christian (Jamie Dornan) agora têm amor, intimidade, dinheiro, sexo, relacionamento estável e um promissor futuro. A vida, no entanto, ainda reserva surpresas para os dois e fantasmas do passado como Jack Hyde (Eric Johnson) e Elena Lincoln (Kim Basinger) voltam a impedir a paz do casal."
"7";"O Sacrifício do Cervo Sagrado";"16";"Steven (Colin Farrell) é um cardiologista conceituado que é casado com Anna (Nicole Kidman), com quem tem dois filhos: Kim (Raffey Cassidy) e Bob (Sunny Suljic). Já há algum tempo ele mantém contato frequente com Martin (Barry Keoghan), um adolescente cujo pai morreu na mesa de operação, justamente quando era operado por Steven. Ele gosta bastante do garoto, tanto que lhe dá presentes e decide apresentá-lo à família. Entretanto, quando o jovem não recebe mais a atenção de antigamente, decide elaborar um plano de vingança."
"8";"Três Anúncios para um Crime";"16";"Inconformada com a ineficácia da polícia em encontrar o culpado pelo brutal assassinato de sua filha, Mildred Hayes (Frances McDormand) decide chamar atenção para o caso não solucionado alugando três outdoors em uma estrada raramente usada. A inesperada atitude repercute em toda a cidade e suas consequências afetam várias pessoas, especialmente a própria Mildred e o Delegado Willoughby (Woody Harrelson), responsável pela investigação."
"9";"Operação Red Sparrow";"16";"Outrora talentosa bailarina, Dominika Egorova (Jennifer Lawrence) encontra-se em maus bocados quando é convencida a se tornar uma Sparrow, ou seja, uma sedudora treinada na melhor escola de espionagem russa. Após passar pelo árduo processo de aprendizagem, ela se torna a mais talentosa espiã do país e precisa lidar com o agente da CIA Nathaniel Nash (Joel Edgerton). Os dois, no entanto, acabam desenvolvendo uma paixão proibida que ameaça não só suas vidas, mas também as de outras pessoas."
"10";"Motorrad";"16";"Um dos grandes desejos de Hugo (Guilherme Prates) é conseguir fazer parte do grupo de motocross do seu irmão mais velho. Decidido, ele rouba algumas peças para que possa montar sua motocicleta. Quando consegue o feito, ele encontra com a turma do irmão em uma cachoeira remota, onde fazem uma trilha e se deparam com um antigo muro. Hugo sugere que eles desmontem o muro e sigam a aventura, mas acabam encontrando a dona do ferro-velho de onde Hugo roubou as peças. Ela os convida para um caminho ainda mais radical, só que a diversão vira uma corrida pela sobrevivência quando eles passam a ser perseguidos por motoqueiros sádicos e sobrenaturais."
